Height: 286, TxCount: 30, E2E_TPS: 262.74, Pure_TPS: 256.24, Submit_TPS: 134.86, TotalTxs: 25950, TotalBlocks: 287
Height: 287, TxCount: 30, E2E_TPS: 262.61, Pure_TPS: 256.12, Submit_TPS: 134.64, TotalTxs: 25980, TotalBlocks: 288
Height: 288, TxCount: 30, E2E_TPS: 262.83, Pure_TPS: 256.34, Submit_TPS: 134.60, TotalTxs: 26010, TotalBlocks: 289
Height: 289, TxCount: 30, E2E_TPS: 262.38, Pure_TPS: 255.92, Submit_TPS: 134.82, TotalTxs: 26040, TotalBlocks: 290
Height: 290, TxCount: 0, E2E_TPS: 262.29, Pure_TPS: 255.83, Submit_TPS: 134.77, TotalTxs: 26040, TotalBlocks: 291
Height: 291, TxCount: 30, E2E_TPS: 262.10, Pure_TPS: 255.66, Submit_TPS: 134.52, TotalTxs: 26070, TotalBlocks: 292
Height: 292, TxCount: 0, E2E_TPS: 262.04, Pure_TPS: 255.60, Submit_TPS: 134.49, TotalTxs: 26070, TotalBlocks: 293
Height: 293, TxCount: 0, E2E_TPS: 261.40, Pure_TPS: 254.99, Submit_TPS: 134.76, TotalTxs: 26070, TotalBlocks: 294
Height: 294, TxCount: 30, E2E_TPS: 261.47, Pure_TPS: 255.06, Submit_TPS: 134.64, TotalTxs: 26100, TotalBlocks: 295
Height: 295, TxCount: 0, E2E_TPS: 261.24, Pure_TPS: 254.85, Submit_TPS: 134.52, TotalTxs: 26100, TotalBlocks: 296
Height: 296, TxCount: 30, E2E_TPS: 261.45, Pure_TPS: 255.06, Submit_TPS: 134.48, TotalTxs: 26130, TotalBlocks: 297
Height: 297, TxCount: 30, E2E_TPS: 261.21, Pure_TPS: 254.83, Submit_TPS: 134.80, TotalTxs: 26160, TotalBlocks: 298
Height: 298, TxCount: 0, E2E_TPS: 261.05, Pure_TPS: 254.68, Submit_TPS: 134.71, TotalTxs: 26160, TotalBlocks: 299
Height: 299, TxCount: 30, E2E_TPS: 261.27, Pure_TPS: 254.90, Submit_TPS: 134.68, TotalTxs: 26190, TotalBlocks: 300
Height: 300, TxCount: 0, E2E_TPS: 261.17, Pure_TPS: 254.80, Submit_TPS: 134.62, TotalTxs: 26190, TotalBlocks: 301
Height: 301, TxCount: 30, E2E_TPS: 261.33, Pure_TPS: 254.96, Submit_TPS: 134.55, TotalTxs: 26220, TotalBlocks: 302
Height: 302, TxCount: 30, E2E_TPS: 261.31, Pure_TPS: 254.95, Submit_TPS: 134.39, TotalTxs: 26250, TotalBlocks: 303
Height: 303, TxCount: 0, E2E_TPS: 260.92, Pure_TPS: 254.58, Submit_TPS: 134.78, TotalTxs: 26250, TotalBlocks: 304
Height: 304, TxCount: 30, E2E_TPS: 261.12, Pure_TPS: 254.78, Submit_TPS: 134.73, TotalTxs: 26280, TotalBlocks: 305
Height: 305, TxCount: 0, E2E_TPS: 260.64, Pure_TPS: 254.32, Submit_TPS: 134.48, TotalTxs: 26280, TotalBlocks: 306
Height: 306, TxCount: 30, E2E_TPS: 260.86, Pure_TPS: 254.54, Submit_TPS: 134.44, TotalTxs: 26310, TotalBlocks: 307
Height: 307, TxCount: 30, E2E_TPS: 260.53, Pure_TPS: 254.23, Submit_TPS: 134.72, TotalTxs: 26340, TotalBlocks: 308
Height: 308, TxCount: 0, E2E_TPS: 260.48, Pure_TPS: 254.18, Submit_TPS: 134.69, TotalTxs: 26340, TotalBlocks: 309
Height: 309, TxCount: 30, E2E_TPS: 260.60, Pure_TPS: 254.31, Submit_TPS: 134.60, TotalTxs: 26370, TotalBlocks: 310
Height: 310, TxCount: 0, E2E_TPS: 260.48, Pure_TPS: 254.19, Submit_TPS: 134.53, TotalTxs: 26370, TotalBlocks: 311
Height: 311, TxCount: 0, E2E_TPS: 259.36, Pure_TPS: 253.12, Submit_TPS: 134.55, TotalTxs: 26370, TotalBlocks: 312
